ID pheno geno error
AxB0001 9.890637 8.000000 1.890637
AxB0002 6.546568 6.000000 0.546568
AxB0003 7.899249 8.000000 -0.100751
AxB0004 4.462866 6.000000 -1.537134
AxB0005 5.207757 6.000000 -0.792243
AxB0006 5.265580 4.000000 1.265580
AxB0007 4.048383 4.000000 0.048383
AxB0008 3.905782 4.000000 -0.094218
AxB0009 3.306525 4.000000 -0.693475
AxB0010 5.509569 6.000000 -0.490431
AxB0011 2.843645 4.000000 -1.156355
AxB0012 4.872902 6.000000 -1.127098
AxB0013 11.263970 8.000000 3.263970
AxB0014 3.630890 4.000000 -0.369110
AxB0015 5.287119 6.000000 -0.712881
AxB0016 5.982439 6.000000 -0.017561
AxB0017 6.126333 6.000000 0.126333
AxB0018 8.212635 8.000000 0.212635
AxB0019 6.832774 6.000000 0.832774
AxB0020 4.201836 4.000000 0.201836
AxB0021 6.042695 6.000000 0.042695
AxB0022 2.982125 4.000000 -1.017875
AxB0023 7.012945 6.000000 1.012945
AxB0024 5.566559 6.000000 -0.433441
AxB0025 4.628961 6.000000 -1.371039
AxB0026 4.868831 4.000000 0.868831
AxB0027 8.077230 8.000000 0.077230
AxB0028 0.265200 4.000000 -3.734800
AxB0029 6.240139 6.000000 0.240139
AxB0030 6.107896 6.000000 0.107896
AxB0031 5.418450 6.000000 -0.581550
AxB0032 6.651501 6.000000 0.651501
AxB0033 7.136219 8.000000 -0.863781
AxB0034 9.414448 8.000000 1.414448
AxB0035 5.375097 6.000000 -0.624903
AxB0036 6.688480 8.000000 -1.311520
AxB0037 3.736335 4.000000 -0.263665
AxB0038 5.162558 6.000000 -0.837442
AxB0039 4.553722 4.000000 0.553722
AxB0040 6.401276 6.000000 0.401276
AxB0041 5.723185 6.000000 -0.276815
AxB0042 5.641031 6.000000 -0.358969
AxB0043 1.998546 4.000000 -2.001454
AxB0044 5.727208 6.000000 -0.272792
AxB0045 2.662414 4.000000 -1.337586
AxB0046 8.141589 6.000000 2.141589
AxB0047 6.743906 6.000000 0.743906
AxB0048 6.326044 6.000000 0.326044
AxB0049 1.676421 4.000000 -2.323579
AxB0050 2.773224 4.000000 -1.226776
AxB0051 4.457766 4.000000 0.457766
AxB0052 6.828765 6.000000 0.828765
AxB0053 4.877245 6.000000 -1.122755
AxB0054 6.879346 6.000000 0.879346
AxB0055 6.840079 8.000000 -1.159921
AxB0056 5.576174 6.000000 -0.423826
AxB0057 5.355674 6.000000 -0.644326
AxB0058 9.029096 8.000000 1.029096
AxB0059 4.350015 4.000000 0.350015
AxB0060 5.653065 4.000000 1.653065
AxB0061 6.530641 6.000000 0.530641
AxB0062 2.045272 4.000000 -1.954728
AxB0063 8.454037 8.000000 0.454037
AxB0064 9.746770 8.000000 1.746770
AxB0065 5.036264 4.000000 1.036264
AxB0066 4.028227 4.000000 0.028227
AxB0067 10.337553 8.000000 2.337553
AxB0068 6.079582 6.000000 0.079582
AxB0069 6.282451 8.000000 -1.717549
AxB0070 4.197671 6.000000 -1.802329
AxB0071 7.714165 6.000000 1.714165
AxB0072 2.620872 4.000000 -1.379128
AxB0073 5.184060 6.000000 -0.815940
AxB0074 6.903185 6.000000 0.903185
AxB0075 6.873755 6.000000 0.873755
AxB0076 5.562101 6.000000 -0.437899
AxB0077 4.720254 6.000000 -1.279746
AxB0078 7.365088 8.000000 -0.634912
AxB0079 6.116975 6.000000 0.116975
AxB0080 6.040294 6.000000 0.040294
AxB0081 3.844261 6.000000 -2.155739
AxB0082 3.331015 4.000000 -0.668985
AxB0083 4.643936 4.000000 0.643936
AxB0084 7.295735 8.000000 -0.704265
AxB0085 5.640107 6.000000 -0.359893
AxB0086 3.968248 6.000000 -2.031752
AxB0087 5.615573 6.000000 -0.384427
AxB0088 6.880953 6.000000 0.880953
AxB0089 5.818756 6.000000 -0.181244
AxB0090 3.375909 4.000000 -0.624091
AxB0091 4.753460 6.000000 -1.246540
AxB0092 4.249569 6.000000 -1.750431
AxB0093 7.424931 6.000000 1.424931
AxB0094 2.992552 4.000000 -1.007448
AxB0095 7.990373 8.000000 -0.009627
AxB0096 7.296311 8.000000 -0.703689
AxB0097 4.850069 6.000000 -1.149931
AxB0098 5.066928 6.000000 -0.933072
AxB0099 5.508399 6.000000 -0.491601
AxB0100 6.798229 8.000000 -1.201771
	AxC0001 6.816073 6.000000 0.816073
AxC0002 5.314523 6.000000 -0.685477
AxC0003 3.906967 4.000000 -0.093033
AxC0004 6.180572 6.000000 0.180572
AxC0005 8.186974 8.000000 0.186974
AxC0006 8.058659 8.000000 0.058659
AxC0007 4.191549 6.000000 -1.808451
AxC0008 5.281435 4.000000 1.281435
AxC0009 8.883891 8.000000 0.883891
AxC0010 4.613585 6.000000 -1.386415
AxC0011 5.358853 6.000000 -0.641147
AxC0012 8.313207 8.000000 0.313207
AxC0013 9.479138 8.000000 1.479138
AxC0014 3.705099 4.000000 -0.294901
AxC0015 9.316374 8.000000 1.316374
AxC0016 7.076387 6.000000 1.076387
AxC0017 5.655928 6.000000 -0.344072
AxC0018 9.416580 8.000000 1.416580
AxC0019 7.777611 6.000000 1.777611
AxC0020 5.987149 6.000000 -0.012851
AxC0021 5.510716 6.000000 -0.489284
AxC0022 5.799098 6.000000 -0.200902
AxC0023 3.933003 4.000000 -0.066997
AxC0024 8.608524 6.000000 2.608524
AxC0025 3.550885 4.000000 -0.449115
AxC0026 5.600080 6.000000 -0.399920
AxC0027 7.104903 8.000000 -0.895097
AxC0028 3.020879 4.000000 -0.979121
AxC0029 3.347931 4.000000 -0.652069
AxC0030 9.409077 8.000000 1.409077
AxC0031 9.709191 8.000000 1.709191
AxC0032 5.819156 6.000000 -0.180844
AxC0033 6.040588 6.000000 0.040588
AxC0034 8.935311 8.000000 0.935311
AxC0035 3.817034 4.000000 -0.182966
AxC0036 3.785109 4.000000 -0.214891
AxC0037 6.821782 8.000000 -1.178218
AxC0038 4.607637 6.000000 -1.392363
AxC0039 6.280880 6.000000 0.280880
AxC0040 8.132733 8.000000 0.132733
AxC0041 7.372775 6.000000 1.372775
AxC0042 5.561363 4.000000 1.561363
AxC0043 7.748500 6.000000 1.748500
AxC0044 5.351367 4.000000 1.351367
AxC0045 6.347188 6.000000 0.347188
AxC0046 7.266811 8.000000 -0.733189
AxC0047 5.854579 6.000000 -0.145421
AxC0048 6.222308 6.000000 0.222308
AxC0049 4.430770 4.000000 0.430770
AxC0050 7.691454 6.000000 1.691454
AxC0051 5.190238 4.000000 1.190238
AxC0052 4.696040 4.000000 0.696040
AxC0053 4.512984 6.000000 -1.487016
AxC0054 4.669771 6.000000 -1.330229
AxC0055 5.885314 6.000000 -0.114686
AxC0056 5.236465 6.000000 -0.763535
AxC0057 7.306506 6.000000 1.306506
AxC0058 6.308366 6.000000 0.308366
AxC0059 5.098423 4.000000 1.098423
AxC0060 3.238778 4.000000 -0.761222
AxC0061 6.452397 6.000000 0.452397
AxC0062 3.759638 4.000000 -0.240362
AxC0063 7.774157 8.000000 -0.225843
AxC0064 1.886120 4.000000 -2.113880
AxC0065 5.984834 6.000000 -0.015166
AxC0066 8.395492 8.000000 0.395492
AxC0067 8.539052 8.000000 0.539052
AxC0068 3.484074 4.000000 -0.515926
AxC0069 5.211322 6.000000 -0.788678
AxC0070 7.558044 8.000000 -0.441956
AxC0071 7.147118 6.000000 1.147118
AxC0072 4.674892 4.000000 0.674892
AxC0073 4.793826 6.000000 -1.206174
AxC0074 5.606405 6.000000 -0.393595
AxC0075 6.813683 8.000000 -1.186317
AxC0076 8.432454 8.000000 0.432454
AxC0077 3.980567 4.000000 -0.019433
AxC0078 9.390474 8.000000 1.390474
AxC0079 7.196074 6.000000 1.196074
AxC0080 4.490150 6.000000 -1.509850
